club_name,canonical_name,league_name,city,state,source_url
AC Brea Soccer,Brea,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
ALBION SC Los Angeles,Albion Los Angeles,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
AYSO S1 Alliance,Ayso S1 Alliance,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
CARBA Football Club,Carba Football,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
CDA Slammers,Cda Slammers,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Chelsea OC,Chelsea Oc,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Chivas Academy LA,Chivas Academy La,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Claremont Stars Soccer Club,Claremont Stars,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Downey Futbol Club,Downey Futbol,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Dynamo LA,Dynamo La,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
FC California Velocity,California Velocity,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
FC Golden State,Golden State,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
FC Man United,Man,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
FCP,Fcp,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
FLYTE SC IE,Flyte Ie,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Inland Empire Futbol Club,Inland Empire Futbol,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Inland Surf,Inland Surf,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Inland United SC,Inland,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
LAFC So Cal,Lafc So Cal,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
LA Surf Soccer Club,La Surf,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Lazers SC,Lazers,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Legends FC (CA),Legends,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Legends SC Sacramento,Legends Sacramento,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Los Angeles International FC,Los Angeles International,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Los Angeles SC,Los Angeles,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Los Futboleros FC,Los Futboleros,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Magnus FC,Magnus,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Necaxa USA Futbol Club,Necaxa Usa Futbol,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Platinum Inland Empire,Platinum Inland Empire,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Prestige FC,Prestige,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Pro Alliance FC,Pro Alliance,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Pumas La Habra FC,Pumas La Habra,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Rancho Challenge FC,Rancho Challenge,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Rebels Soccer Club,Rebels,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Riverside MGFM Soccer Organization,Riverside Mgfm Organization,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Sporting California USA,Sporting California Usa,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Steel United California,Steel California,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Valencia FC,Valencia,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
West Covina SC,West Covina,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
West Covina Youth Soccer Corporation,West Covina Corporation,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
Xplosion SC,Xplosion,California State Soccer Association - South,,Cal South,https://system.gotsport.com/org_event/events/43065/clubs
